,smiles,score_type,origin,m_score__min__energy,m_primary,rmsd,m_score__min__rmsd,meeko,energy,cluster_rmsd,cluster,Structure
11,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.349689889642337,4.349689889642337,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 35}",-6.9,0.06,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
12,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.3361239320831455,4.3361239320831455,"{""free_energy"": -6.84, ""intermolecular_energy"": -8.04, ""internal_energy"": -2.89, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 48}",-6.9,0.06,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
13,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.3495184015428565,4.3495184015428565,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.09, ""internal_energy"": -2.84, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 17}",-6.9,0.07,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
14,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.347683871214168,4.347683871214168,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.82, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-6.9,0.07,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
15,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.34636071094348,4.34636071094348,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.09, ""internal_energy"": -2.82, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 16}",-6.9,0.08,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
16,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.350878012855284,4.350878012855284,"{""free_energy"": -6.88, ""intermolecular_energy"": -8.07, ""internal_energy"": -2.85, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 21}",-6.9,0.13,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
17,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.3519808197332335,4.3519808197332335,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 39}",-6.9,0.17,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
18,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.3415160290554216,4.3415160290554216,"{""free_energy"": -6.91, ""intermolecular_energy"": -8.11, ""internal_energy"": -2.82, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-6.89,0.08,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
19,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.336427990186048,4.336427990186048,"{""free_energy"": -6.85, ""intermolecular_energy"": -8.04, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 46}",-6.88,0.2,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
20,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.3407695212667905,4.3407695212667905,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 40}",-6.88,0.21,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
