,smiles,score_type,origin,m_score__min__energy,m_primary,rmsd,m_score__min__rmsd,meeko,energy,cluster_rmsd,cluster,Structure
11,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.345899075200311,4.345899075200311,"{""free_energy"": -6.85, ""intermolecular_energy"": -8.04, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 50}",-6.9,0.07,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
12,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.341403299237199,4.341403299237199,"{""free_energy"": -6.93, ""intermolecular_energy"": -8.12, ""internal_energy"": -2.81, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-6.9,0.16,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
13,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.351910609816226,4.351910609816226,"{""free_energy"": -6.91, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.83, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-6.9,0.14,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
14,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.347683871214168,4.347683871214168,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.82, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-6.89,0.09,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
15,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.351551287931222,4.351551287931222,"{""free_energy"": -6.91, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.82, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-6.89,0.21,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
16,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.350878012855284,4.350878012855284,"{""free_energy"": -6.88, ""intermolecular_energy"": -8.07, ""internal_energy"": -2.85, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 21}",-6.89,0.18,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
17,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.3519808197332335,4.3519808197332335,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 45}",-6.89,0.21,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
18,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.337583402119364,4.337583402119364,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.87, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 38}",-6.88,0.17,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
19,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.346303356672836,4.346303356672836,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.09, ""internal_energy"": -2.84, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 14}",-6.88,0.2,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
20,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.344610110457326,4.344610110457326,"{""free_energy"": -6.88, ""intermolecular_energy"": -8.07, ""internal_energy"": -2.86, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 20}",-6.88,0.21,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
21,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.35045702787186,4.35045702787186,"{""free_energy"": -6.91, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.83, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-6.88,0.14,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
22,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.347268361185057,4.347268361185057,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 35}",-6.87,0.2,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
23,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.347792823022303,4.347792823022303,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 34}",-6.87,0.18,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
24,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.344755347362531,4.344755347362531,"{""free_energy"": -6.87, ""intermolecular_energy"": -8.07, ""internal_energy"": -2.85, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 23}",-6.87,0.22,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
25,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.35175778753172,4.35175778753172,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.83, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-6.87,0.14,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
26,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.353562922682795,4.353562922682795,"{""free_energy"": -6.87, ""intermolecular_energy"": -8.06, ""internal_energy"": -2.85, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 26}",-6.87,0.16,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
