smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.11, ""intermolecular_energy"": -8.6, ""internal_energy"": -1.08, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-7.26,0.0,271.97,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.07, ""intermolecular_energy"": -8.56, ""internal_energy"": -1.15, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-7.24,0.17,271.98,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -6.98, ""intermolecular_energy"": -8.47, ""internal_energy"": -1.11, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 14}",-7.22,0.57,271.91,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.22, ""intermolecular_energy"": -8.71, ""internal_energy"": -0.95, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-7.22,0.11,271.96,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.09, ""intermolecular_energy"": -8.58, ""internal_energy"": -1.0, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-7.11,0.59,271.92,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -6.29, ""intermolecular_energy"": -7.78, ""internal_energy"": -1.54, ""cluster_size"": 3, ""cluster_id"": 4, ""rank_in_cluster"": 3}",-7.11,0.59,271.9,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.06, ""intermolecular_energy"": -8.56, ""internal_energy"": -1.03, ""cluster_size"": 2, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-7.09,0.82,271.88,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.07, ""intermolecular_energy"": -8.57, ""internal_energy"": -1.12, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-7.08,0.45,271.78,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.06, ""intermolecular_energy"": -8.55, ""internal_energy"": -1.0, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-7.07,0.46,271.77,1
O=c1c2ccc(F)cc2nc(/C=C/c2ccco2)n1Cc1ccccn1,oracle,autodockgpu,-7.2599999999999998,energy,"{""free_energy"": -7.22, ""intermolecular_energy"": -8.71, ""internal_energy"": -1.02, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-7.07,1.89,271.8,1
