smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -8.41, ""intermolecular_energy"": -10.2, ""internal_energy"": -1.37, ""cluster_size"": 2, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-8.41,0.0,271.29,1
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.51, ""intermolecular_energy"": -9.3, ""internal_energy"": -2.19, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 7}",-7.87,1.21,271.08,1
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.49, ""intermolecular_energy"": -9.28, ""internal_energy"": -2.36, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 12}",-7.67,0.0,271.59,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.47, ""intermolecular_energy"": -9.26, ""internal_energy"": -2.36, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 13}",-7.61,0.32,271.6,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -6.6, ""intermolecular_energy"": -8.39, ""internal_energy"": -2.49, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 18}",-7.54,1.09,271.64,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.47, ""intermolecular_energy"": -9.26, ""internal_energy"": -2.37, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 14}",-7.54,0.75,271.54,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.5, ""intermolecular_energy"": -9.29, ""internal_energy"": -2.35, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 10}",-7.52,1.09,271.63,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.52, ""intermolecular_energy"": -9.31, ""internal_energy"": -2.33, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 6}",-7.52,1.08,271.63,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.87, ""intermolecular_energy"": -9.66, ""internal_energy"": -1.39, ""cluster_size"": 2, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-7.51,0.49,271.66,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.5, ""intermolecular_energy"": -9.29, ""internal_energy"": -2.35, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 11}",-7.5,1.08,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.52, ""intermolecular_energy"": -9.31, ""internal_energy"": -2.33, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 5}",-7.5,1.08,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.42, ""intermolecular_energy"": -9.21, ""internal_energy"": -2.21, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 16}",-7.5,1.08,271.63,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.54, ""intermolecular_energy"": -9.33, ""internal_energy"": -2.1, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 4}",-7.5,1.08,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.5, ""intermolecular_energy"": -9.29, ""internal_energy"": -2.35, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 9}",-7.49,1.09,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.61, ""intermolecular_energy"": -9.4, ""internal_energy"": -2.23, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-7.47,1.08,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.41, ""intermolecular_energy"": -9.2, ""internal_energy"": -2.35, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 17}",-7.47,1.08,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.67, ""intermolecular_energy"": -9.46, ""internal_energy"": -2.19, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-7.46,1.08,271.62,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.5, ""intermolecular_energy"": -9.29, ""internal_energy"": -2.34, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 8}",-7.42,1.23,271.54,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.46, ""intermolecular_energy"": -9.25, ""internal_energy"": -2.36, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 15}",-7.41,1.1,271.6,2
O=c1c2cc([N+](=O)[O-])ccc2nc(/C=C/c2cccs2)n1Cc1cccc(Cl)c1,oracle,autodockgpu,-8.4100000000000001,energy,"{""free_energy"": -7.54, ""intermolecular_energy"": -9.33, ""internal_energy"": -2.31, ""cluster_size"": 18, ""cluster_id"": 2, ""rank_in_cluster"": 3}",-6.6,1.9,271.1,2
