smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -7.02, ""intermolecular_energy"": -8.21, ""internal_energy"": -0.98, ""cluster_size"": 6, ""cluster_id"": 2, ""rank_in_cluster"": 6}",-7.33,0.0,270.46,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -6.98, ""intermolecular_energy"": -8.18, ""internal_energy"": -1.09, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-7.31,0.13,270.48,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -6.93, ""intermolecular_energy"": -8.12, ""internal_energy"": -1.14, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-7.02,0.67,270.46,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -7.15, ""intermolecular_energy"": -8.34, ""internal_energy"": -0.99, ""cluster_size"": 6, ""cluster_id"": 2, ""rank_in_cluster"": 3}",-6.98,0.71,270.49,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -6.78, ""intermolecular_energy"": -7.97, ""internal_energy"": -1.03, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-6.96,1.97,270.9,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -6.96, ""intermolecular_energy"": -8.15, ""internal_energy"": -1.05, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-6.95,0.75,270.44,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -7.15, ""intermolecular_energy"": -8.35, ""internal_energy"": -1.02, ""cluster_size"": 6, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-6.95,0.75,270.46,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -7.31, ""intermolecular_energy"": -8.5, ""internal_energy"": -0.78, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-6.94,0.75,270.47,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -6.95, ""intermolecular_energy"": -8.14, ""internal_energy"": -1.13, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-6.93,0.78,270.42,1
O=S(=O)(Cc1ccccn1)N1CCC(c2c[nH]c3ccccc23)CC1,oracle,autodockgpu,-7.3300000000000001,energy,"{""free_energy"": -7.14, ""intermolecular_energy"": -8.33, ""internal_energy"": -1.02, ""cluster_size"": 6, ""cluster_id"": 2, ""rank_in_cluster"": 5}",-6.78,1.43,270.49,1
