smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.62, ""intermolecular_energy"": -10.11, ""internal_energy"": -1.57, ""cluster_size"": 1, ""cluster_id"": 3, ""rank_in_cluster"": 1}",-9.86,0.0,270.57,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.06, ""intermolecular_energy"": -10.55, ""internal_energy"": -2.04, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-9.86,0.1,270.58,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.02, ""intermolecular_energy"": -10.51, ""internal_energy"": -1.94, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-9.85,0.5,270.58,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.07, ""intermolecular_energy"": -10.57, ""internal_energy"": -2.04, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-9.84,0.11,270.61,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.14, ""intermolecular_energy"": -10.63, ""internal_energy"": -2.05, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-9.14,1.25,270.55,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.86, ""intermolecular_energy"": -11.35, ""internal_energy"": -1.17, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-9.14,1.25,270.55,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.14, ""intermolecular_energy"": -10.63, ""internal_energy"": -2.04, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-9.12,1.25,270.53,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.03, ""intermolecular_energy"": -10.52, ""internal_energy"": -1.96, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 12}",-9.07,1.27,270.56,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.97, ""intermolecular_energy"": -10.47, ""internal_energy"": -1.94, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-9.07,1.26,270.52,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.13, ""intermolecular_energy"": -9.62, ""internal_energy"": -1.94, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 14}",-9.06,1.26,270.62,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.98, ""intermolecular_energy"": -10.47, ""internal_energy"": -1.93, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-9.06,1.36,270.62,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.85, ""intermolecular_energy"": -11.34, ""internal_energy"": -1.15, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-9.03,1.39,270.7,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.84, ""intermolecular_energy"": -11.33, ""internal_energy"": -1.18, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-9.02,1.4,270.61,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.06, ""intermolecular_energy"": -10.55, ""internal_energy"": -1.97, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-8.13,1.39,270.18,1
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.63, ""intermolecular_energy"": -10.12, ""internal_energy"": -1.65, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 5}",-8.98,0.0,270.18,2
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.97, ""intermolecular_energy"": -10.47, ""internal_energy"": -1.93, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 3}",-8.97,0.04,270.18,2
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -8.89, ""intermolecular_energy"": -10.38, ""internal_energy"": -1.98, ""cluster_size"": 5, ""cluster_id"": 2, ""rank_in_cluster"": 4}",-8.97,0.02,270.18,2
c1ccc2c(c1)CCN(c1nc(NC[C@@H]3CCCN3)nc(N3CCc4ccccc4C3)n1)C2,oracle,autodockgpu,-9.8599999999999994,energy,"{""free_energy"": -9.12, ""intermolecular_energy"": -10.61, ""internal_energy"": -2.02, ""cluster_size"": 14, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-8.89,0.38,270.07,2
