smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -6.65, ""intermolecular_energy"": -9.03, ""internal_energy"": -1.72, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-7.58,0.0,272.66,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -6.07, ""intermolecular_energy"": -8.45, ""internal_energy"": -1.99, ""cluster_size"": 1, ""cluster_id"": 3, ""rank_in_cluster"": 1}",-7.29,0.91,272.87,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -6.47, ""intermolecular_energy"": -8.86, ""internal_energy"": -1.64, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-7.12,1.64,272.25,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.56, ""intermolecular_energy"": -6.94, ""internal_energy"": -4.06, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 6}",-7.04,1.48,272.43,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.56, ""intermolecular_energy"": -6.94, ""internal_energy"": -4.05, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 7}",-6.82,1.8,272.05,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -6.82, ""intermolecular_energy"": -9.2, ""internal_energy"": -1.72, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-6.76,1.97,272.35,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.56, ""intermolecular_energy"": -6.95, ""internal_energy"": -4.06, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 4}",-6.65,1.61,272.27,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -6.07, ""intermolecular_energy"": -8.46, ""internal_energy"": -2.08, ""cluster_size"": 1, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-6.61,1.79,272.21,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -7.58, ""intermolecular_energy"": -9.97, ""internal_energy"": -0.81, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-6.47,1.88,272.08,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -6.61, ""intermolecular_energy"": -9.0, ""internal_energy"": -1.7, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-6.33,1.68,272.01,1
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.56, ""intermolecular_energy"": -6.94, ""internal_energy"": -4.05, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 5}",-6.07,0.0,271.41,2
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.56, ""intermolecular_energy"": -6.95, ""internal_energy"": -4.06, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 2}",-6.07,0.0,271.43,3
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -7.29, ""intermolecular_energy"": -9.68, ""internal_energy"": -0.91, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-4.57,0.0,272.39,4
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.57, ""intermolecular_energy"": -6.95, ""internal_energy"": -4.06, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 1}",-4.56,0.04,272.4,4
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -4.45, ""intermolecular_energy"": -6.84, ""internal_energy"": -4.0, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 8}",-4.56,0.06,272.38,4
O=C(CCCOc1ccc(Cl)cc1Cl)NCCn1cnc2cccnc21,oracle,autodockgpu,-7.5800000000000001,energy,"{""free_energy"": -7.12, ""intermolecular_energy"": -9.51, ""internal_energy"": -1.7, ""cluster_size"": 10, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-4.56,0.07,272.41,4
