smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.8, ""intermolecular_energy"": -12.3, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 14}",-10.83,0.0,271.58,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.83, ""intermolecular_energy"": -12.32, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-10.82,0.05,271.59,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.82, ""intermolecular_energy"": -12.31, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-10.82,0.03,271.58,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.81, ""intermolecular_energy"": -12.3, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-10.82,0.04,271.57,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.81, ""intermolecular_energy"": -12.3, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-10.82,0.03,271.58,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.81, ""intermolecular_energy"": -12.3, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-10.82,0.07,271.56,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.82, ""intermolecular_energy"": -12.31, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-10.81,0.04,271.6,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.81, ""intermolecular_energy"": -12.3, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-10.81,0.06,271.58,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -8.75, ""intermolecular_energy"": -10.24, ""internal_energy"": -1.03, ""cluster_size"": 1, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-10.81,0.05,271.58,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.82, ""intermolecular_energy"": -12.31, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-10.81,0.03,271.58,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.59, ""intermolecular_energy"": -12.08, ""internal_energy"": -0.93, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 17}",-10.81,0.04,271.57,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.82, ""intermolecular_energy"": -12.32, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-10.81,0.05,271.57,1
c1ccc2c(c1)CCN(c1nc(NCC3CCCCC3)nc(N3CCNCC3)n1)C2,oracle,autodockgpu,-10.83,energy,"{""free_energy"": -10.81, ""intermolecular_energy"": -12.31, ""internal_energy"": -0.91, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-10.81,0.09,271.55,1
