UniqueID,SMILES,Energy,Genealogy,smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -9.6, ""intermolecular_energy"": -11.39, ""internal_energy"": -0.64, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-10.13,0.0,270.37,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -9.55, ""intermolecular_energy"": -11.34, ""internal_energy"": -0.49, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-9.88,0.39,270.33,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -9.21, ""intermolecular_energy"": -11.0, ""internal_energy"": -0.61, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 12}",-9.71,0.96,270.63,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -8.9, ""intermolecular_energy"": -10.69, ""internal_energy"": -0.65, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 16}",-9.7,0.94,270.6,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -8.84, ""intermolecular_energy"": -10.62, ""internal_energy"": -0.62, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 17}",-9.65,1.12,270.59,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -8.97, ""intermolecular_energy"": -10.76, ""internal_energy"": -0.52, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 15}",-9.6,0.91,270.63,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -10.13, ""intermolecular_energy"": -11.92, ""internal_energy"": -0.55, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-9.6,0.81,270.61,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -8.48, ""intermolecular_energy"": -10.27, ""internal_energy"": -1.09, ""cluster_size"": 3, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-9.59,0.91,270.55,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -9.15, ""intermolecular_energy"": -10.94, ""internal_energy"": -0.63, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-9.55,0.44,270.33,1
733,c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1,63.32851173096077,"c1cncc(CC[NH2+]c2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1 (protonated)
c1cncc(CC[NH+]=c2nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (tautomer)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (cis-trans isomerization)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (3D coordinates assigned)
c1cncc(CC/[NH+]=c2\nc(N3CCCCC3)[nH]c(N3CCc4ccccc4C3)n2)c1 (nonaromatic ring conformer: 63.32851173096077 kcal/mol)",c1cncc(CCNc2nc(N3CCCCC3)nc(N3CCc4ccccc4C3)n2)c1,oracle,autodockgpu,-10.130000000000001,energy,"{""free_energy"": -9.54, ""intermolecular_energy"": -11.33, ""internal_energy"": -0.65, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-9.54,0.88,270.51,1
