smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -7.28, ""intermolecular_energy"": -9.66, ""internal_energy"": -1.17, ""cluster_size"": 9, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-7.81,0.0,272.26,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -7.81, ""intermolecular_energy"": -10.2, ""internal_energy"": -0.76, ""cluster_size"": 9, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-7.54,1.5,272.21,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -5.53, ""intermolecular_energy"": -7.92, ""internal_energy"": -2.77, ""cluster_size"": 10, ""cluster_id"": 2, ""rank_in_cluster"": 10}",-7.49,1.47,272.29,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -7.54, ""intermolecular_energy"": -9.93, ""internal_energy"": -0.87, ""cluster_size"": 9, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-7.28,1.8,271.76,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -7.24, ""intermolecular_energy"": -9.62, ""internal_energy"": -1.42, ""cluster_size"": 9, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-7.28,1.25,272.04,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -7.06, ""intermolecular_energy"": -9.45, ""internal_energy"": -1.47, ""cluster_size"": 9, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-7.24,1.23,272.0,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -5.86, ""intermolecular_energy"": -8.25, ""internal_energy"": -2.64, ""cluster_size"": 10, ""cluster_id"": 2, ""rank_in_cluster"": 8}",-7.16,1.82,271.64,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -5.99, ""intermolecular_energy"": -8.37, ""internal_energy"": -2.59, ""cluster_size"": 10, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-7.06,1.79,271.85,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -7.16, ""intermolecular_energy"": -9.54, ""internal_energy"": -0.92, ""cluster_size"": 9, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-6.82,1.77,271.89,1
O=C(CCCOc1cccc(Cl)c1)NCCc1ccc(Cl)cc1Cl,oracle,autodockgpu,-7.8099999999999996,energy,"{""free_energy"": -5.97, ""intermolecular_energy"": -8.35, ""internal_energy"": -2.61, ""cluster_size"": 10, ""cluster_id"": 2, ""rank_in_cluster"": 4}",-6.0,0.0,271.74,2
