smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.44, ""intermolecular_energy"": -9.52, ""internal_energy"": -0.88, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-7.47,0.0,270.84,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.32, ""intermolecular_energy"": -8.41, ""internal_energy"": -1.67, ""cluster_size"": 1, ""cluster_id"": 3, ""rank_in_cluster"": 1}",-7.45,0.31,270.75,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.62, ""intermolecular_energy"": -8.71, ""internal_energy"": -1.51, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-7.44,0.32,270.86,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.27, ""intermolecular_energy"": -8.36, ""internal_energy"": -1.52, ""cluster_size"": 1, ""cluster_id"": 4, ""rank_in_cluster"": 1}",-7.41,0.31,270.73,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.31, ""intermolecular_energy"": -9.4, ""internal_energy"": -0.79, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-7.4,0.23,270.78,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.2, ""intermolecular_energy"": -9.29, ""internal_energy"": -0.75, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-7.39,0.33,270.79,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.27, ""intermolecular_energy"": -9.36, ""internal_energy"": -0.85, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-7.31,0.44,270.88,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.39, ""intermolecular_energy"": -9.48, ""internal_energy"": -0.83, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-7.31,0.33,270.67,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.47, ""intermolecular_energy"": -9.56, ""internal_energy"": -0.77, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-7.3,0.39,270.74,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.58, ""intermolecular_energy"": -8.67, ""internal_energy"": -1.53, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 15}",-7.27,0.54,270.84,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.45, ""intermolecular_energy"": -9.54, ""internal_energy"": -0.9, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-7.2,0.74,270.72,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.58, ""intermolecular_energy"": -8.67, ""internal_energy"": -1.52, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 16}",-7.12,0.82,270.55,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.12, ""intermolecular_energy"": -9.21, ""internal_energy"": -0.84, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 12}",-6.62,1.14,270.67,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.28, ""intermolecular_energy"": -8.37, ""internal_energy"": -1.6, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 17}",-6.6,1.21,270.64,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.31, ""intermolecular_energy"": -9.4, ""internal_energy"": -0.87, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-6.58,1.11,270.65,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.41, ""intermolecular_energy"": -9.5, ""internal_energy"": -0.9, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-6.58,1.21,270.62,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.3, ""intermolecular_energy"": -9.39, ""internal_energy"": -0.87, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-6.28,1.41,270.45,1
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.63, ""intermolecular_energy"": -8.72, ""internal_energy"": -1.52, ""cluster_size"": 1, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-6.63,0.0,270.69,2
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -6.6, ""intermolecular_energy"": -8.68, ""internal_energy"": -1.48, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 14}",-6.32,0.0,270.57,3
O=C(CCCOc1ccc(Cl)cc1)Nc1cccc([N+](=O)[O-])c1,oracle,autodockgpu,-7.4699999999999998,energy,"{""free_energy"": -7.4, ""intermolecular_energy"": -9.49, ""internal_energy"": -0.85, ""cluster_size"": 17, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-6.27,0.0,271.27,4
