smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.12, ""intermolecular_energy"": -9.01, ""internal_energy"": -1.18, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-8.12,0.0,271.93,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.1, ""intermolecular_energy"": -8.99, ""internal_energy"": -1.2, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-8.11,1.4,272.06,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.02, ""intermolecular_energy"": -8.91, ""internal_energy"": -1.27, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-8.11,0.03,271.94,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.11, ""intermolecular_energy"": -9.0, ""internal_energy"": -1.19, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-8.11,0.05,271.92,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.53, ""intermolecular_energy"": -8.43, ""internal_energy"": -1.11, ""cluster_size"": 5, ""cluster_id"": 3, ""rank_in_cluster"": 2}",-8.11,0.03,271.94,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.11, ""intermolecular_energy"": -9.01, ""internal_energy"": -1.18, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-8.11,0.05,271.94,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.53, ""intermolecular_energy"": -8.43, ""internal_energy"": -1.11, ""cluster_size"": 5, ""cluster_id"": 3, ""rank_in_cluster"": 3}",-8.1,0.08,271.94,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.07, ""intermolecular_energy"": -8.97, ""internal_energy"": -1.13, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-8.07,1.4,272.07,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.53, ""intermolecular_energy"": -8.43, ""internal_energy"": -1.11, ""cluster_size"": 5, ""cluster_id"": 3, ""rank_in_cluster"": 1}",-8.02,0.18,271.93,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.92, ""intermolecular_energy"": -8.81, ""internal_energy"": -1.23, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 12}",-8.01,0.17,271.92,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.32, ""intermolecular_energy"": -8.21, ""internal_energy"": -1.28, ""cluster_size"": 5, ""cluster_id"": 3, ""rank_in_cluster"": 5}",-7.97,0.11,271.9,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.78, ""intermolecular_energy"": -8.67, ""internal_energy"": -1.38, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-7.92,0.16,271.9,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.19, ""intermolecular_energy"": -8.09, ""internal_energy"": -1.6, ""cluster_size"": 2, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-7.78,0.62,271.85,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.11, ""intermolecular_energy"": -9.0, ""internal_energy"": -1.19, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-7.81,0.0,271.29,2
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.97, ""intermolecular_energy"": -8.87, ""internal_energy"": -1.17, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-7.19,1.31,271.01,2
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.11, ""intermolecular_energy"": -9.01, ""internal_energy"": -1.09, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-7.53,0.0,272.19,3
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.01, ""intermolecular_energy"": -8.9, ""internal_energy"": -1.28, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-7.53,0.03,272.18,3
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -8.11, ""intermolecular_energy"": -9.01, ""internal_energy"": -1.19, ""cluster_size"": 13, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-7.53,0.04,272.17,3
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.81, ""intermolecular_energy"": -8.71, ""internal_energy"": -1.28, ""cluster_size"": 2, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-7.53,0.04,272.17,3
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-8.1199999999999992,energy,"{""free_energy"": -7.53, ""intermolecular_energy"": -8.42, ""internal_energy"": -1.11, ""cluster_size"": 5, ""cluster_id"": 3, ""rank_in_cluster"": 4}",-7.32,0.94,272.05,3
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.82, ""intermolecular_energy"": -8.72, ""internal_energy"": -1.22, ""cluster_size"": 12, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-7.91,0.0,270.99,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.91, ""intermolecular_energy"": -8.81, ""internal_energy"": -1.14, ""cluster_size"": 4, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-7.88,0.07,270.97,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.82, ""intermolecular_energy"": -8.71, ""internal_energy"": -1.22, ""cluster_size"": 12, ""cluster_id"": 2, ""rank_in_cluster"": 8}",-7.84,0.17,271.0,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.88, ""intermolecular_energy"": -8.78, ""internal_energy"": -1.15, ""cluster_size"": 4, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-7.83,0.12,270.99,1
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.8, ""intermolecular_energy"": -8.7, ""internal_energy"": -1.22, ""cluster_size"": 12, ""cluster_id"": 2, ""rank_in_cluster"": 9}",-7.82,0.0,271.11,2
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.52, ""intermolecular_energy"": -8.42, ""internal_energy"": -1.28, ""cluster_size"": 12, ""cluster_id"": 2, ""rank_in_cluster"": 12}",-7.82,0.01,271.11,2
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.03, ""intermolecular_energy"": -7.93, ""internal_energy"": -1.65, ""cluster_size"": 4, ""cluster_id"": 3, ""rank_in_cluster"": 1}",-7.82,0.01,271.11,2
c1ccc(CN2Cc3ccccc3C2c2n[nH]c3ccccc23)cc1,oracle,autodockgpu,-7.9100000000000001,energy,"{""free_energy"": -7.84, ""intermolecular_energy"": -8.73, ""internal_energy"": -1.17, ""cluster_size"": 4, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-7.82,0.01,271.12,2
