smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -6.44, ""intermolecular_energy"": -8.83, ""internal_energy"": -2.35, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 8}",-8.26,0.0,268.37,1
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.27, ""intermolecular_energy"": -9.66, ""internal_energy"": -1.37, ""cluster_size"": 1, ""cluster_id"": 6, ""rank_in_cluster"": 1}",-7.84,0.62,268.24,1
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.68, ""intermolecular_energy"": -10.06, ""internal_energy"": -1.29, ""cluster_size"": 3, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-7.68,1.39,268.37,1
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -8.11, ""intermolecular_energy"": -10.5, ""internal_energy"": -1.28, ""cluster_size"": 3, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-8.11,0.0,268.65,2
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.24, ""intermolecular_energy"": -9.63, ""internal_energy"": -2.38, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 5}",-8.05,0.2,268.62,2
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.4, ""intermolecular_energy"": -9.79, ""internal_energy"": -2.3, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 2}",-7.61,0.88,268.54,2
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.84, ""intermolecular_energy"": -10.22, ""internal_energy"": -1.36, ""cluster_size"": 3, ""cluster_id"": 1, ""rank_in_cluster"": 2}",-7.8,0.0,269.06,3
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.42, ""intermolecular_energy"": -9.8, ""internal_energy"": -1.49, ""cluster_size"": 1, ""cluster_id"": 5, ""rank_in_cluster"": 1}",-7.42,0.0,268.28,4
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -8.05, ""intermolecular_energy"": -10.44, ""internal_energy"": -1.27, ""cluster_size"": 3, ""cluster_id"": 2, ""rank_in_cluster"": 2}",-7.4,0.06,268.3,4
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.3, ""intermolecular_energy"": -9.68, ""internal_energy"": -2.32, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 4}",-7.38,0.1,268.31,4
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.61, ""intermolecular_energy"": -10.0, ""internal_energy"": -1.38, ""cluster_size"": 3, ""cluster_id"": 2, ""rank_in_cluster"": 3}",-7.3,0.14,268.28,4
O=c1c2ccccc2nc(/C=C/c2ccc([N+](=O)[O-])o2)n1Cc1cccc(OC(F)(F)F)c1,oracle,autodockgpu,-8.2599999999999998,energy,"{""free_energy"": -7.42, ""intermolecular_energy"": -9.8, ""internal_energy"": -2.28, ""cluster_size"": 8, ""cluster_id"": 4, ""rank_in_cluster"": 1}",-7.24,0.21,268.28,4
